uid	u_activity
1	0
3	0
4	0
5	1
7	0
8	1
9	1
10	1
12	0
13	1
14	0
15	1
17	1
18	1
20	0
21	0
22	1
23	1
24	1
25	0
26	1
27	0
29	1
30	0
32	0
33	1
34	1
35	1
39	0
41	0
42	1
43	0
45	1
46	0
47	0
48	1
49	1
52	0
53	1
54	0
55	0
56	0
57	0
59	1
60	0
61	0
62	1
63	1
64	0
65	1
66	0
67	0
68	0
70	0
71	0
72	0
73	1
74	0
75	1
76	0
77	0
78	1
79	0
80	0
81	0
82	1
83	1
84	0
86	0
87	0
89	0
90	1
91	0
92	1
93	1
94	0
95	1
97	1
98	0
99	1
100	0
101	1
102	1
103	1
104	0
106	0
107	1
108	0
109	0
110	0
111	0
115	0
117	1
118	1
119	1
121	0
122	0
123	1
124	0
125	0
126	0
127	1
128	0
129	1
130	1
131	1
132	0
133	1
135	0
136	1
137	1
138	0
139	1
140	0
141	0
142	0
143	0
144	0
145	0
146	1
147	1
148	1
151	1
152	0
153	0
154	0
155	0
156	1
157	1
158	0
159	0
160	0
161	1
162	1
163	1
165	1
166	1
167	0
168	0
169	1
170	0
171	0
172	0
173	1
174	1
175	1
176	0
177	0
178	1
179	1
180	0
181	1
182	0
183	1
184	0
185	0
187	1
188	0
189	0
190	1
192	1
193	1
194	0
196	0
197	0
198	1
199	1
200	0
201	0
202	1
203	1
204	1
205	1
206	0
207	0
208	1
209	0
210	1
211	0
212	1
213	0
214	1
215	0
216	1
217	0
218	0
219	0
220	1
221	0
224	1
225	1
226	0
227	0
228	0
229	1
230	1
231	1
233	0
234	0
235	1
236	0
237	1
238	1
241	0
242	1
244	0
245	1
246	0
252	0
253	0
254	0
255	1
256	0
258	1
259	1
260	1
261	1
262	1
264	1
265	1
267	1
268	1
270	1
271	1
272	1
273	1
274	1
275	0
276	0
277	0
278	1
280	0
281	1
282	0
283	0
284	1
285	1
286	0
287	1
288	0
290	0
294	0
295	1
296	1
298	0
299	1
300	1
302	1
304	0
305	1
307	1
308	1
309	1
310	1
311	0
312	0
314	1
315	0
316	0
317	0
318	0
319	1
320	0
322	0
324	0
325	0
326	1
327	1
328	0
329	1
330	0
331	1
332	0
333	1
334	0
336	1
337	1
338	1
339	1
340	1
341	0
342	1
344	0
345	0
347	1
348	1
349	1
350	0
351	1
352	1
353	0
354	0
355	1
356	0
358	0
359	0
360	0
362	0
363	0
364	0
365	0
366	1
367	0
368	1
369	0
371	0
372	1
373	0
374	0
376	1
377	1
378	0
379	0
380	1
382	0
384	0
385	1
386	1
387	0
388	0
389	0
392	1
393	0
394	0
395	0
396	1
397	0
398	1
399	0
400	0
401	0
402	1
403	1
404	0
405	0
406	1
407	0
409	1
412	1
413	1
414	0
415	1
418	0
419	1
420	0
421	0
422	0
424	1
426	1
427	0
428	0
429	1
430	0
431	0
432	0
433	0
434	0
435	1
436	1
437	0
438	1
439	0
441	0
442	1
443	0
444	1
447	0
449	0
450	0
452	1
453	1
454	1
456	1
457	1
459	0
460	0
461	1
462	1
463	1
464	0
465	0
466	1
467	0
468	0
469	0
470	0
471	1
472	0
473	0
474	1
475	1
476	1
477	1
478	0
480	1
482	1
483	0
484	0
485	0
486	0
488	0
490	0
491	0
492	0
493	1
494	1
495	0
496	1
497	0
498	1
499	1
500	1
501	0
502	0
504	1
506	0
507	0
508	1
509	1
512	0
513	1
514	0
515	1
516	1
517	1
518	1
519	0
520	1
521	0
522	0
524	1
527	0
528	1
529	1
530	1
532	0
535	0
537	1
538	0
539	1
540	0
542	0
544	0
545	0
547	0
548	1
549	1
550	1
551	1
553	0
555	0
556	1
557	0
558	1
559	0
560	1
561	0
563	1
564	0
565	0
566	1
567	0
568	0
569	1
571	1
572	0
573	0
574	0
575	1
576	0
577	1
578	0
580	0
581	0
582	0
583	1
584	0
585	1
586	0
587	1
588	1
589	0
590	1
592	0
594	1
595	1
596	0
597	0
598	0
599	0
600	0
601	1
603	0
604	1
606	0
607	0
608	1
609	0
610	1
611	1
612	0
613	1
616	0
617	0
618	0
619	0
620	1
622	0
624	1
625	0
626	0
627	0
628	0
630	1
631	1
633	0
636	0
637	1
638	1
639	1
640	0
641	1
643	0
644	1
645	0
646	1
647	1
648	1
649	0
651	1
652	1
653	0
654	1
655	1
656	1
658	0
659	1
661	0
662	1
663	1
664	1
666	1
667	1
668	0
669	1
670	0
671	1
673	1
674	0
675	0
676	1
677	1
678	1
679	0
680	0
681	0
682	0
683	0
684	0
685	1
686	0
687	1
688	0
690	1
692	1
693	0
694	0
695	1
696	1
697	1
698	1
699	1
700	0
701	0
702	1
703	0
704	0
705	1
706	1
707	0
708	0
710	1
711	1
712	1
713	1
714	1
715	1
717	0
718	1
719	0
720	1
721	1
722	0
723	0
725	0
726	0
727	1
728	1
730	0
733	1
734	0
736	1
737	1
738	0
739	1
740	0
742	0
743	1
745	0
746	1
748	0
750	0
751	0
752	1
754	1
755	1
756	0
757	1
758	0
759	1
760	0
761	0
762	0
763	0
764	1
765	1
766	0
768	0
769	0
770	1
771	0
773	0
774	1
775	0
776	1
778	1
779	0
780	1
782	0
783	1
784	0
785	1
786	0
787	1
788	1
789	1
790	0
791	1
792	0
793	1
794	0
795	1
796	1
797	0
798	1
799	0
800	1
801	1
802	1
804	0
805	0
809	0
811	0
812	0
813	0
814	0
816	1
817	1
818	1
819	0
820	1
821	0
822	1
823	1
824	1
825	0
826	0
827	0
828	1
832	1
833	0
834	0
835	0
836	0
838	1
839	1
840	1
842	0
843	1
845	0
846	1
847	0
848	0
849	1
850	1
851	0
853	1
854	1
855	1
856	0
857	0
858	1
859	1
860	0
861	0
862	1
863	0
865	0
866	0
867	0
868	0
869	1
870	0
871	0
872	1
873	1
874	0
875	0
876	1
877	1
878	0
880	1
881	1
884	1
885	0
886	0
887	0
888	0
889	1
890	1
891	1
892	0
893	1
894	0
895	0
896	0
898	0
899	1
900	0
901	0
902	0
903	0
904	1
905	1
906	0
908	0
909	0
910	1
912	0
913	0
914	0
916	0
917	0
918	1
919	1
921	1
922	1
923	0
926	1
927	1
928	1
929	1
930	1
931	1
932	0
933	0
934	1
935	1
936	0
937	1
938	0
941	0
942	0
943	0
944	0
945	1
946	0
947	0
948	1
949	1
950	0
951	0
952	1
953	1
954	1
955	1
956	1
958	1
960	1
961	0
962	0
963	1
964	0
965	0
966	1
967	0
968	0
969	0
970	1
971	1
972	0
973	1
974	0
975	1
977	1
978	0
979	0
980	1
982	0
983	0
986	0
987	1
988	0
989	0
991	0
992	0
993	0
994	0
996	1
997	0
998	1
999	1
1000	0
1001	1
1002	0
1003	0
1004	1
1005	0
1008	0
1009	0
1013	0
1014	0
1015	1
1016	1
1018	1
1019	1
1020	0
1021	1
1022	1
1023	0
1025	0
1026	0
1027	0
1028	0
1029	1
1030	1
1031	1
1034	1
1035	0
1036	0
1037	0
1038	1
1040	1
1041	0
1042	0
1043	0
1044	1
1045	0
1046	0
1048	0
1049	0
1050	1
1051	1
1053	1
1054	1
1055	0
1056	0
1058	1
1059	1
1060	0
1061	0
1062	1
1063	1
1064	1
1065	0
1066	1
1068	1
1069	1
1070	0
1071	1
1072	1
1073	1
1074	1
1075	0
1076	0
1077	1
1079	1
1080	0
1081	0
1082	0
1085	0
1086	1
1087	1
1089	0
1090	0
1092	0
1093	0
1094	1
1097	1
1098	0
1099	1
1100	1
1102	0
1103	0
1104	0
1105	1
1106	0
1107	0
1108	0
1109	1
1110	0
1111	0
1112	1
1113	1
1114	1
1115	1
1116	1
1117	1
1118	0
1120	1
1122	1
1123	0
1124	1
1125	1
1126	0
1127	1
1128	1
1129	1
1132	1
1134	1
1135	1
1136	0
1137	1
1138	0
1139	1
1140	1
1143	0
1144	0
1145	0
1146	1
1147	1
1148	0
1149	0
1150	1
1152	1
1154	0
1158	0
1159	1
1161	0
1162	1
1163	0
1166	0
1167	0
1168	1
1169	1
1170	1
1171	0
1174	0
1175	0
1176	1
1177	0
1179	1
1180	0
1181	1
1182	1
1183	1
1184	1
1185	0
1186	1
1187	0
1188	0
1189	0
1190	0
1191	1
1192	0
1193	1
1194	1
1195	0
1197	0
1199	1
1200	0
1201	0
1202	1
1204	1
1206	1
1207	1
1209	1
1210	0
1211	1
1212	0
1213	0
1214	0
1215	1
1216	1
1218	1
1219	1
1220	1
1221	1
1225	0
1227	1
1231	1
1233	0
1234	0
1235	0
1236	0
1237	0
1239	0
1240	0
1241	1
1242	1
1243	1
1244	1
1245	0
1246	1
1247	0
1249	0
1250	0
1252	1
1255	1
1256	0
1258	0
1259	0
1260	1
1261	1
1262	1
1263	1
1264	1
1265	1
1266	1
1267	1
1268	1
1269	0
1271	1
1273	1
1274	1
1275	0
1276	0
1277	0
1278	0
1280	0
1282	0
1283	0
1284	1
1285	1
1286	0
1288	1
1289	0
1292	0
1293	0
1294	1
1295	0
1296	0
1297	1
1298	1
1299	1
1300	1
1301	1
1302	0
1303	1
1304	0
1307	0
1308	0
1309	0
1310	0
1312	1
1314	1
1315	0
1316	0
1319	0
1320	1
1322	1
1323	1
1325	1
1326	0
1328	1
1331	1
1332	0
1333	1
1335	1
1336	0
1338	1
1339	1
1340	1
1342	0
1343	1
1344	0
1345	1
1346	0
1347	1
1348	1
1349	0
1351	0
1352	1
1353	0
1354	1
1355	0
1357	1
1358	1
1359	0
1360	1
1362	1
1363	0
1364	0
1366	1
1367	1
1368	0
1369	1
1371	0
1372	0
1373	0
1374	1
1375	0
1377	1
1378	0
1379	0
1380	1
1381	0
1382	0
1384	0
1385	0
1386	0
1387	1
1388	0
1389	1
1390	1
1392	1
1394	0
1397	0
1399	1
1400	0
1401	0
1403	0
1404	1
1405	0
1406	0
1407	1
1408	1
1411	0
1412	0
1413	1
1417	0
1418	1
1419	0
1421	1
1422	1
1423	0
1424	0
1428	0
1430	1
1431	0
1432	0
1433	0
1434	1
1436	0
1437	1
1438	0
1439	0
1440	1
1441	1
1442	1
1443	0
1444	0
1446	1
1447	1
1448	1
1449	1
1450	1
1451	1
1452	0
1453	0
1454	0
1456	0
1457	1
1458	1
1459	0
1460	0
1461	0
1462	0
1464	1
1465	1
1467	0
1468	1
1469	0
1470	1
1471	0
1472	1
1473	1
1475	0
1476	0
1477	0
1478	0
1479	0
1480	0
1481	1
1483	1
1484	1
1485	0
1486	0
1487	0
1488	0
1489	1
1491	1
1492	1
1494	1
1495	1
1496	1
1498	1
1499	1
1500	1
1502	1
1505	1
1506	1
1507	1
1508	0
1509	1
1510	0
1511	0
1512	0
1513	1
1514	1
1515	0
1516	1
1518	0
1521	0
1524	1
1525	1
1526	0
1528	0
1529	0
1530	1
1531	0
1532	1
1534	0
1535	0
1536	0
1538	0
1539	0
1541	0
1542	1
1543	1
1544	1
1545	1
1547	1
1548	0
1549	0
1550	0
1552	1
1553	0
1555	0
1556	1
1557	0
1558	0
1559	0
1560	1
1561	1
1564	1
1567	1
1569	0
1570	0
1572	0
1573	0
1574	0
1575	0
1578	0
1579	1
1580	0
1581	0
1582	0
1584	1
1585	1
1586	1
1587	1
1588	0
1589	1
1590	0
1592	1
1594	1
1595	1
1596	0
1597	1
1598	1
1600	1
1601	1
1602	1
1603	0
1604	0
1605	1
1606	1
1607	1
1609	1
1610	0
1611	1
1612	0
1613	1
1614	0
1615	0
1616	1
1618	0
1619	0
1620	0
1621	0
1622	0
1623	0
1624	1
1625	0
1627	0
1628	1
1629	0
1630	1
1631	1
1632	1
1633	0
1634	1
1635	1
1636	1
1637	0
1639	1
1640	1
1641	1
1642	0
1644	0
1647	1
1650	1
1651	0
1652	0
1653	0
1654	0
1655	1
1658	1
1659	0
1660	0
1661	0
1662	0
1663	0
1664	0
1665	0
1666	1
1667	1
1669	0
1671	1
1672	0
1673	0
1674	0
1675	1
1676	1
1677	0
1678	1
1680	1
1681	1
1682	0
1683	1
1686	0
1687	1
1688	1
1689	1
1691	0
1693	1
1694	1
1695	1
1696	1
1697	1
1698	1
1699	1
1700	0
1701	1
1702	0
1703	0
1704	0
1705	0
1706	1
1707	0
1708	0
1709	1
1710	0
1713	0
1716	1
1717	1
1718	0
1719	0
1720	0
1721	1
1722	1
1723	1
1724	1
1725	0
1726	1
1727	1
1728	0
1730	0
1733	1
1734	0
1735	0
1736	1
1737	1
1738	0
1739	0
1740	0
1741	1
1742	0
1743	0
1744	1
1745	0
1746	1
1747	1
1748	1
1749	1
1750	0
1751	0
1752	1
1753	1
1755	1
1756	0
1757	1
1759	1
1761	1
1762	0
1763	0
1764	1
1765	1
1767	1
1768	1
1769	0
1770	0
1771	0
1772	0
1773	0
1774	0
1775	1
1776	1
1777	0
1778	1
1779	1
1780	1
1781	1
1782	0
1783	0
1784	0
1786	0
1787	0
1788	0
1790	1
1791	1
1792	0
1793	1
1794	1
1796	1
1797	1
1799	0
1800	1
1802	1
1803	1
1804	1
1805	1
1806	1
1807	1
1808	0
1809	0
1810	0
1811	0
1812	1
1813	0
1816	0
1817	1
1818	0
1819	1
1820	1
1821	0
1822	0
1823	0
1824	1
1825	1
1826	0
1828	1
1830	0
1831	1
1832	0
1833	1
1834	0
1835	1
1836	1
1837	1
1838	0
1839	0
1840	0
1841	1
1843	1
1844	0
1845	1
1846	0
1847	0
1848	0
1849	0
1850	0
1851	1
1852	0
1853	1
1855	0
1856	1
1857	0
1858	1
1859	0
1860	1
1861	1
1862	0
1864	0
1865	1
1866	1
1867	0
1868	0
1869	0
1870	1
1871	1
1872	0
1873	1
1874	0
1876	0
1877	1
1878	0
1880	1
1881	0
1882	1
1884	1
1886	0
1887	1
1888	0
1889	1
1890	1
1891	1
1893	0
1895	0
1896	1
1897	1
1901	1
1902	1
1903	1
1904	1
1905	0
1906	0
1907	0
1911	0
1912	1
1913	0
1914	0
1915	0
1917	1
1918	0
1919	0
1920	1
1921	0
1922	1
1923	0
1924	0
1925	1
1926	1
1928	1
1929	0
1930	1
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	1
1938	1
1939	1
1940	0
1941	1
1942	0
1943	1
1944	0
1945	0
1946	0
1947	1
1949	1
1950	1
1953	0
1954	1
1956	0
1957	0
1960	1
1961	0
1962	1
1963	0
1964	0
1965	0
1966	0
1968	1
1969	1
1970	0
1971	0
1972	0
1973	0
1975	0
1977	0
1978	1
1979	0
1980	1
1981	0
1982	1
1983	1
1987	0
1988	1
1990	0
1991	0
1992	0
1993	0
1994	0
1995	0
1996	1
1997	0
1998	1
1999	0
2000	1
2001	0
2004	1
2005	0
2006	0
2007	0
2008	1
2009	0
2010	1
2012	1
2013	0
2014	0
2015	1
2016	1
2017	1
2018	1
2019	0
2020	1
2021	1
2023	1
2024	1
2026	1
2027	1
2028	0
2030	1
2031	1
2032	0
2033	0
2035	1
2038	1
2039	1
2040	0
2041	1
2042	1
2043	0
2044	0
2045	0
2047	1
2048	0
2049	0
2050	1
2051	1
2052	0
2053	0
2054	1
2055	1
2056	1
2057	0
2059	1
2060	1
2061	0
2062	0
2063	1
2064	1
2065	0
2066	0
2067	1
2068	1
2069	0
2070	1
2071	1
2072	1
2074	0
2075	0
2077	1
2078	1
2079	0
2081	0
2082	0
2083	0
2085	1
2086	0
2087	0
2088	1
2089	0
2091	1
2093	0
2094	0
2096	1
2097	1
2099	0
2101	1
2102	1
2103	0
2104	0
2105	1
2106	1
2107	0
2109	1
2110	1
2111	0
2112	0
2113	0
2114	1
2115	0
2118	0
2119	1
2121	1
2122	1
2123	0
2124	1
2125	1
2126	0
2127	1
2128	0
2129	1
2131	1
2132	0
2133	0
2134	0
2136	1
2137	0
2138	0
2139	0
2140	1
2142	0
2144	1
2146	1
2147	0
2150	0
2151	0
2152	0
2153	1
2154	0
2156	1
2157	1
2158	1
2161	1
2162	1
2163	0
2165	1
2166	1
2167	1
2168	1
2169	0
2170	1
2171	1
2172	1
2173	1
2174	1
2175	1
2176	1
2177	1
2178	1
2179	1
2180	1
2181	1
2184	0
2185	1
2186	1
2187	1
2188	1
2189	0
2190	1
2191	0
2193	0
2194	1
2195	1
2196	0
2199	1
2201	0
2202	0
2203	1
2204	0
2205	1
2206	1
2207	0
2209	0
2211	1
2212	1
2213	0
2214	0
2215	1
2216	0
2217	0
2218	0
2219	1
2220	0
2221	1
2222	1
2223	1
2225	1
2229	0
2230	1
2231	1
2233	1
2234	0
2235	1
2236	0
2237	1
2238	0
2239	1
2241	1
2242	1
2243	0
2244	1
2246	1
2247	1
2248	1
2249	0
2250	0
2251	1
2252	0
2254	0
2255	1
2256	0
2257	0
2258	1
2259	1
2260	0
2261	1
2262	1
2263	1
2264	1
2265	1
2267	0
2268	0
2269	0
2270	1
2271	1
2272	1
2273	0
2274	0
2276	1
2277	0
2278	0
2279	1
2280	0
2282	1
2283	0
2284	0
2286	0
2288	1
2289	0
2290	1
2292	0
2293	1
2294	0
2295	0
2297	0
2298	1
2300	0
2301	0
2302	1
2303	1
2304	1
2306	0
2308	0
2309	1
2311	0
2312	0
2313	0
2315	0
2317	0
2318	0
2319	0
2321	1
2322	0
2323	1
2324	0
2325	0
2326	0
2330	1
2331	0
2332	0
2333	0
2334	1
2335	0
2336	0
2337	0
2339	0
2340	1
2342	0
2344	1
2345	0
2347	0
2348	1
2349	1
2351	1
2352	1
2353	1
2354	0
2355	1
2356	0
2357	0
2358	0
2363	0
2364	0
2365	0
2366	0
2367	0
2368	1
2371	0
2373	0
2374	1
2375	0
2376	1
2377	0
2378	1
2379	0
2380	1
2381	0
2382	0
2383	1
2384	0
2385	0
2386	0
2387	0
2388	0
2390	0
2392	0
2393	1
2394	0
2395	1
2396	0
2397	0
2398	1
2399	0
2400	0
2401	0
2404	0
2406	1
2407	1
2408	0
2409	1
2410	1
2411	1
2412	0
2413	0
2414	1
2416	0
2417	0
2418	0
2419	1
2420	0
2422	0
2424	1
2425	0
2427	1
2428	0
2429	1
2430	0
2431	0
2433	0
2436	1
2438	1
2439	0
2440	0
2441	0
2442	0
2446	1
2447	0
2448	0
2450	0
2451	1
2452	0
2453	1
2455	1
2457	1
2458	1
2459	1
2460	0
2461	1
2462	1
2464	0
2466	1
2467	0
2468	1
2469	0
2470	0
2471	0
2472	1
2474	0
2476	0
2477	0
2478	1
2480	0
2483	0
2484	1
2485	1
2488	0
2489	1
2491	1
2492	0
2494	0
2495	0
2496	1
2497	1
2498	1
2499	0
2500	1
2501	0
2502	0
2503	1
2506	1
2507	1
2509	0
2510	0
2512	0
2513	0
2514	0
2515	0
2516	0
2517	0
2518	0
2521	0
2522	0
2524	0
2525	0
2526	1
2527	0
2528	0
2529	1
2531	0
2532	0
2533	1
2535	0
2536	0
2538	0
2539	0
2540	1
2541	1
2542	0
2543	0
2544	1
2545	0
2546	1
2547	1
2548	0
2549	0
2550	0
2551	0
2552	0
2553	0
2554	0
2555	1
2556	0
2558	0
2559	1
2560	0
2561	0
2562	1
2564	1
2565	1
2566	1
2567	1
2568	0
2569	0
2570	0
2571	0
2572	1
2573	1
2574	0
2575	1
2576	1
2577	0
2578	0
2579	0
2580	0
2581	1
2582	0
2583	1
2584	0
2585	1
2586	0
2587	0
2588	0
2589	1
2592	1
2593	1
2594	0
2596	0
2597	0
2599	1
2600	0
2601	0
2603	0
2604	0
2607	0
2608	1
2609	1
2611	1
2613	0
2614	0
2615	0
2616	0
2617	0
2618	0
2619	0
2620	1
2621	1
2622	0
2623	0
2626	0
2629	1
2630	0
2631	0
2633	0
2634	1
2635	0
2637	0
2638	1
2639	0
2640	0
2641	1
2642	0
2643	1
2644	0
2645	1
2647	0
2648	1
2649	1
2650	0
2651	1
2652	0
2653	0
2654	1
2655	0
2658	0
2659	1
2660	0
2661	1
2664	1
2666	0
2667	0
2668	1
2669	1
2670	1
2671	0
2673	0
2674	1
2675	0
2677	0
2679	1
2681	1
2682	1
2683	1
2684	1
2685	1
2686	0
2687	0
2689	1
2690	0
2691	1
2692	1
2693	1
2695	0
2696	0
2697	0
2699	1
2701	1
2702	0
2703	0
2705	0
2706	0
2707	0
2708	0
2709	0
2710	0
2711	0
2712	0
2713	0
2714	0
2715	0
2716	0
2717	0
2718	1
2719	1
2720	0
2722	0
2723	0
2724	1
2726	0
2727	0
2728	0
2730	1
2731	1
2732	0
2733	1
2734	1
2735	0
2736	1
2738	1
2742	1
2743	1
2744	1
2746	0
2747	1
2748	1
2749	0
2750	1
2753	1
2754	1
2755	0
2756	1
2757	1
2758	0
2760	0
2761	1
2762	0
2763	0
2765	1
2769	1
2770	0
2772	1
2773	0
2775	0
2776	1
2777	1
2778	1
2779	1
2780	0
2781	1
2782	0
2783	0
2785	1
2790	1
2793	1
2794	1
2795	1
2796	1
2797	0
2798	0
2799	0
2801	1
2802	0
2804	1
2805	0
2806	0
2807	1
2808	1
2809	1
2810	1
2811	0
2813	0
2814	1
2815	0
2818	1
2819	0
2820	1
2823	0
2825	1
2826	1
2827	0
2828	0
2830	0
2831	0
2833	0
2834	0
2837	1
2838	0
2839	0
2841	1
2842	0
2843	0
2844	1
2845	0
2846	1
2847	1
2848	1
2850	0
2851	0
2852	1
2853	0
2854	1
2855	0
2856	0
2857	1
2859	1
2861	0
2862	0
2863	1
2864	0
2865	0
2866	1
2867	0
2868	1
2869	0
2870	1
2872	1
2873	1
2874	1
2875	0
2876	1
2878	1
2879	0
2880	1
2881	0
2882	1
2883	1
2884	0
2885	1
2886	0
2887	1
2889	1
2890	1
2892	0
2893	0
2894	1
2895	1
2896	1
2897	1
2898	1
2899	1
2900	1
2901	1
2903	1
2905	1
2906	0
2907	1
2908	0
2910	1
2911	0
2912	0
2913	1
2916	1
2917	0
2918	1
2919	1
2920	0
2921	1
2922	0
2924	0
2925	0
2926	1
2927	0
2928	1
2932	0
2933	1
2934	1
2935	1
2936	0
2938	1
2939	1
2941	1
2942	1
2943	1
2944	1
2945	0
2946	1
2947	1
2948	0
2949	0
2950	0
2951	0
2952	1
2953	0
2954	0
2956	0
2957	0
2958	0
2961	0
2962	1
2963	0
2964	0
2965	0
2966	1
2967	1
2968	1
2969	1
2970	0
2972	1
2973	0
2976	1
2978	1
2979	0
2980	1
2983	0
2984	0
2985	1
2987	0
2989	1
2990	1
2991	0
2993	0
2994	1
2996	1
2997	1
2998	0
3000	1
3002	1
3003	0
3004	1
3005	1
3008	0
3009	0
3010	1
3012	1
3013	1
3014	1
3017	1
3018	1
3020	1
3021	0
3022	1
3024	1
3026	1
3027	0
3028	1
3029	1
3031	1
3033	1
3034	0
3035	0
3036	1
3037	0
3038	1
3039	0
3041	1
3044	1
3045	1
3046	0
3047	0
3048	0
3050	0
3051	1
3052	0
3053	1
3054	1
3055	1
3056	1
3057	1
3058	1
3059	0
3061	0
3062	0
3063	0
3064	0
3065	1
3066	0
3067	1
3068	0
3069	1
3070	0
3072	1
3073	0
3074	1
3075	1
3076	0
3077	0
3078	0
3079	0
3081	1
3082	1
3084	0
3085	1
3086	1
3087	1
3088	0
3089	0
3090	0
3091	0
3092	0
3093	1
3094	0
3095	1
3097	0
3098	0
3099	1
3100	0
3101	1
3104	0
3105	1
3106	0
3107	0
3108	1
